"ID","post_title","slug","post_status","post_date","price","year","mileage","fuel_type","transmission","vin","color","vehicle_condition","engine_size","doors","seats","drive_type","address","gallery_urls","taxonomies"
"8166","Auto Draft",,"auto-draft","2026-08-28 05:28:01",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"7447","Macan","7447","publish","2026-01-15 05:49:55","42606.64",NULL,"18000","78","47",NULL,"a:1:{i:0;i:510;}","147","0cc","28","5 passengers.","41","USS Tokyo","a:5:{i:7453;s:67:\"https://zafautosjapan.com/wp-content/uploads/2026/01/ImgGet-5-1.jpg\";i:7452;s:67:\"https://zafautosjapan.com/wp-content/uploads/2026/01/ImgGet-4-1.jpg\";i:7451;s:67:\"https://zafautosjapan.com/wp-content/uploads/2026/01/ImgGet-3-1.jpg\";i:7450;s:67:\"https://zafautosjapan.com/wp-content/uploads/2026/01/ImgGet-2-1.jpg\";i:7449;s:67:\"https://zafautosjapan.com/wp-content/uploads/2026/01/ImgGet-1-1.jpg\";}","4 | 4 Doors | Africa | Air Conditioner | All-Wheel Drive (AWD/4WD) | Alloy Wheels | Asia | Audi | Australia | Austria | Automatic | Cambodia | Canada | Car | Electric | Europe | Gensha | Ghana | Great Price | Japan | Leather Seats | Navigation | Oceania | Pakistan | Power Steering | Power Window | Premium Cars | R6 | South Africa | SUV | United Arab Emirates | United Kingdom | Used"
"7435","Audi Q2","audi-q2","publish","2025-01-13 07:30:13",NULL,"2020","2000","432","47","SA034346","a:1:{i:0;i:50;}","147","1500cc","28",NULL,"84",NULL,"a:8:{i:7443;s:68:\"https://zafautosjapan.com/wp-content/uploads/2026/01/F753306577r.jpg\";i:7442;s:68:\"https://zafautosjapan.com/wp-content/uploads/2026/01/F753306577i.jpg\";i:7441;s:70:\"https://zafautosjapan.com/wp-content/uploads/2026/01/F753306577sp1.jpg\";i:7440;s:70:\"https://zafautosjapan.com/wp-content/uploads/2026/01/F753306577sp3.jpg\";i:7439;s:70:\"https://zafautosjapan.com/wp-content/uploads/2026/01/F753306577sp2.jpg\";i:7438;s:70:\"https://zafautosjapan.com/wp-content/uploads/2026/01/F753306577sp5.jpg\";i:7437;s:70:\"https://zafautosjapan.com/wp-content/uploads/2026/01/F753306577sp4.jpg\";i:7436;s:70:\"https://zafautosjapan.com/wp-content/uploads/2026/01/F753306577sp6.jpg\";}","4 | 4 Doors | Africa | Air Conditioner | Airbag | Anti-lock Braking | Asia | Audi | Australia | Austria | Automatic | Black | Buy | Cambodia | Canada | Car | Europe | Front-Wheel Drive | GADPC | Gas | Ghana | Great Price | Instruction Manual Maintenance Manual | Japan | Low Mileage Cars | New Arrivals | Oceania | Pakistan | Power Steering | Power Window | South Africa | SUV | United Arab Emirates | United Kingdom | Used"
"7416","A3 Sedan","a3-sedan","publish","2025-01-13 06:36:13","20428.32","2007","1000","95","103","SA071618","a:1:{i:0;i:154;}","147","1500cc","28",NULL,"84",NULL,"a:9:{i:7434;s:68:\"https://zafautosjapan.com/wp-content/uploads/2026/01/F753605568r.jpg\";i:7433;s:70:\"https://zafautosjapan.com/wp-content/uploads/2026/01/F753605568sp2.jpg\";i:7432;s:70:\"https://zafautosjapan.com/wp-content/uploads/2026/01/F753605568sp1.jpg\";i:7431;s:68:\"https://zafautosjapan.com/wp-content/uploads/2026/01/F753605568i.jpg\";i:7430;s:70:\"https://zafautosjapan.com/wp-content/uploads/2026/01/F753605568sp5.jpg\";i:7429;s:70:\"https://zafautosjapan.com/wp-content/uploads/2026/01/F753605568sp4.jpg\";i:7428;s:70:\"https://zafautosjapan.com/wp-content/uploads/2026/01/F753605568sp3.jpg\";i:7427;s:70:\"https://zafautosjapan.com/wp-content/uploads/2026/01/F753605568sp6.jpg\";i:7425;s:70:\"https://zafautosjapan.com/wp-content/uploads/2026/01/F753605568i-1.jpg\";}","4 | 4 Doors | Africa | Air Conditioner | Airbag | Alloy Wheels | Anti-lock Braking | Asia | Audi | Australia | Austria | Cambodia | Canada | Car | Europe | Front-Wheel Drive | Ghana | Greece | GYDXD | Hong Kong | Hot Offer | Hybrid | Indonesia | Japan | Low Mileage | Manual | Oceania | Pakistan | Premium Cars | Sedan | South Africa | Television system | United Arab Emirates | United Kingdom | Used | White"
"7388","A1 Sportback","a1-sportback","publish","2025-01-11 15:40:31","18482.73","2007","5000","432",NULL,"WAUZZZGBXSR003024","a:1:{i:0;i:154;}","147","1000cc","28",NULL,NULL,NULL,"a:10:{i:7389;s:70:\"https://zafautosjapan.com/wp-content/uploads/2026/01/1568654312s-1.jpg\";i:7390;s:70:\"https://zafautosjapan.com/wp-content/uploads/2026/01/1568654312t-1.jpg\";i:7391;s:70:\"https://zafautosjapan.com/wp-content/uploads/2026/01/1568654312u-1.jpg\";i:7398;s:70:\"https://zafautosjapan.com/wp-content/uploads/2026/01/1568654312r-1.jpg\";i:7397;s:70:\"https://zafautosjapan.com/wp-content/uploads/2026/01/1568654312i-1.jpg\";i:7396;s:70:\"https://zafautosjapan.com/wp-content/uploads/2026/01/1568654312z-1.jpg\";i:7395;s:70:\"https://zafautosjapan.com/wp-content/uploads/2026/01/1568654312y-1.jpg\";i:7394;s:70:\"https://zafautosjapan.com/wp-content/uploads/2026/01/1568654312x-1.jpg\";i:7393;s:70:\"https://zafautosjapan.com/wp-content/uploads/2026/01/1568654312w-1.jpg\";i:7392;s:70:\"https://zafautosjapan.com/wp-content/uploads/2026/01/1568654312v-1.jpg\";}","3BA-GBDKL | 4 Doors | Afghanistan | Africa | Airbag | Alloy Wheels | Anti-lock Braking | Asia | Audi | Australia | Austria | Cambodia | Canada | Car | Convertible | Europe | Gas | Ghana | Japan | Low Mileage | Low Mileage Cars | Most Affordable | Navigation | New Arrivals | Oceania | Pakistan | Power Steering | Power Window | Premium Cars | Sell | South Africa | United Arab Emirates | United Kingdom | Used | White"
"7376","Hyundai Nesso","hyundai-nesso","publish","2026-01-10 09:34:32","10133.77","2003","65",NULL,NULL,"KMHJ6816UNUI015058",NULL,"147","0cc",NULL,NULL,NULL,NULL,NULL,"Africa | Air Conditioner | Albania | Asia | Australia | Austria | Brake Assist | Cambodia | Canada | Car | Convertible | Cuba | Europe | Fiji | France | Ghana | Hyundai | Japan | Leather Seats | Low Mileage | Low Mileage Cars | Most Affordable | Navigation | New Arrivals | Oceania | Pakistan | Power Door Locks | Power Steering | Power Window | Premium Cars | South Africa | United Arab Emirates | United Kingdom | Used | ZBA-FE120"
"7366","BMW 3 Series","bmw-3-series","publish","2025-01-10 09:05:43","22547.63","2007","2","432","47","08F11365","a:1:{i:0;i:51;}","147","2000cc","28",NULL,NULL,NULL,"a:8:{i:7375;s:70:\"https://zafautosjapan.com/wp-content/uploads/2026/01/F753304830sp1.jpg\";i:7374;s:68:\"https://zafautosjapan.com/wp-content/uploads/2026/01/F753304830r.jpg\";i:7373;s:68:\"https://zafautosjapan.com/wp-content/uploads/2026/01/F753304830i.jpg\";i:7372;s:70:\"https://zafautosjapan.com/wp-content/uploads/2026/01/F753304830sp2.jpg\";i:7371;s:70:\"https://zafautosjapan.com/wp-content/uploads/2026/01/F753304830sp4.jpg\";i:7370;s:70:\"https://zafautosjapan.com/wp-content/uploads/2026/01/F753304830sp3.jpg\";i:7369;s:70:\"https://zafautosjapan.com/wp-content/uploads/2026/01/F753304830sp6.jpg\";i:7368;s:70:\"https://zafautosjapan.com/wp-content/uploads/2026/01/F753304830sp5.jpg\";}","4 | 4 Doors | 5F20 | Africa | Asia | Australia | Austria | Automatic | Blue | BMW | Brazil | Bulgaria | Cambodia | Canada | Car | Chad | Chile | China | Colombia | Eritrea | Estonia | Europe | Gas | Georgia | Great Price | Japan | Kenya | Low Mileage Cars | Most Affordable | New Arrivals | Oceania | Pakistan | Premium Cars | Sedan | South Africa | United Arab Emirates | United Kingdom | Used"
"7359","BMW 2 Series","bmw-2-series","publish","2025-01-10 08:19:38","22484.29","7","4","72","437","85165","a:1:{i:0;i:50;}","147","2000cc","28",NULL,"41",NULL,"a:6:{i:7365;s:63:\"https://zafautosjapan.com/wp-content/uploads/2026/01/ImgGet.jpg\";i:7364;s:65:\"https://zafautosjapan.com/wp-content/uploads/2026/01/ImgGet-3.jpg\";i:7363;s:65:\"https://zafautosjapan.com/wp-content/uploads/2026/01/ImgGet-2.jpg\";i:7362;s:65:\"https://zafautosjapan.com/wp-content/uploads/2026/01/ImgGet-1.jpg\";i:7361;s:65:\"https://zafautosjapan.com/wp-content/uploads/2026/01/ImgGet-5.jpg\";i:7360;s:65:\"https://zafautosjapan.com/wp-content/uploads/2026/01/ImgGet-4.jpg\";}","22GF20 | 4 | 4 Doors | Africa | All-Wheel Drive (AWD/4WD) | Alloy Wheels | Asia | Australia | Azerbaijan | Belgium | Best Sellers | Black | BMW | Canada | Car | Coupe | Cuba | Diesel | Ethiopia | Europe | FAT | Ghana | Hot Deals | Japan | Leather Seats | Lebanon | Libya | Low Mileage | Low Mileage Cars | Most Affordable | Navigation | New Arrivals | Oceania | Pakistan | Power Steering | Power Window | Premium Cars | Sell | South Africa | United Arab Emirates | United Kingdom | Used"
"7346","BMW 1 Series","bmw-1-series-2","publish","2025-01-10 08:03:10","22414.62","7","6","95","437","07S19882","a:1:{i:0;i:130;}","147","2000cc","28",NULL,"84",NULL,"a:10:{i:7347;s:70:\"https://zafautosjapan.com/wp-content/uploads/2026/01/F753404363sp5.jpg\";i:7348;s:70:\"https://zafautosjapan.com/wp-content/uploads/2026/01/F753404363sp6.jpg\";i:7357;s:72:\"https://zafautosjapan.com/wp-content/uploads/2026/01/F753404363sp5-1.jpg\";i:7356;s:72:\"https://zafautosjapan.com/wp-content/uploads/2026/01/F753404363sp1-1.jpg\";i:7355;s:70:\"https://zafautosjapan.com/wp-content/uploads/2026/01/F753404363sp1.jpg\";i:7354;s:68:\"https://zafautosjapan.com/wp-content/uploads/2026/01/F753404363r.jpg\";i:7353;s:68:\"https://zafautosjapan.com/wp-content/uploads/2026/01/F753404363i.jpg\";i:7351;s:70:\"https://zafautosjapan.com/wp-content/uploads/2026/01/F753404363sp4.jpg\";i:7350;s:70:\"https://zafautosjapan.com/wp-content/uploads/2026/01/F753404363sp3.jpg\";i:7349;s:70:\"https://zafautosjapan.com/wp-content/uploads/2026/01/F753404363sp2.jpg\";}","22GF20 | 4 | 4 Doors | Africa | Air Conditioner | Alloy Wheels | Asia | Australia | Bhutan | BMW | Cambodia | Canada | Car | Driver Air Bag | Europe | FAT | France | Front-Wheel Drive | Ghana | Great Price | Hatchback | Hybrid | Japan | Leather Seats | Navigation | Oceania | Pakistan | Power Steering | Power Window | Sell | Silver | South Africa | United Arab Emirates | United Kingdom | Used"
"7283","Toyota Vellfire","toyota-vellfire","publish","2026-01-03 07:19:35","2550","2009","145798","111","47","ask for it","a:1:{i:0;i:498;}","147","2500 cc","494",NULL,"84",NULL,"a:5:{i:7245;s:85:\"https://zafautosjapan.com/wp-content/uploads/2026/01/Screenshot-2025-08-22-144113.png\";i:7246;s:85:\"https://zafautosjapan.com/wp-content/uploads/2026/01/Screenshot-2025-08-22-144117.png\";i:7247;s:85:\"https://zafautosjapan.com/wp-content/uploads/2026/01/Screenshot-2025-08-22-144122.png\";i:7243;s:85:\"https://zafautosjapan.com/wp-content/uploads/2026/01/Screenshot-2025-08-22-143908.png\";i:7242;s:85:\"https://zafautosjapan.com/wp-content/uploads/2026/01/Screenshot-2025-08-22-143901.png\";}","5 Doors | 6 | Africa | Air Conditioner | Airbag | Alloy Wheels | Anti-lock Braking | Asia | Australia | Automatic | Bluetooth | Brake Assist | Cambodia | Car | Child Safety Locks | Driver Air Bag | Fog Lights Front | Front-Wheel Drive | Ghana | Great Price | Gun metallic | Heater | Hot Deals | MPV | Navigation | Petrol | Power Door Locks | Power Steering | Power Window | R6 | Rain Sensing Wiper | South Africa | Stability Control | Television system | Thailand | Touchscreen Display | Toyota | Traction Control | United Kingdom | Used | Vanity Mirror | Windows - Electric"
